Source,Target,Type,Id,Label,timeset,Weight
26500661542,396645047055583,Directed,0,,,1
26500661542,155052495031963,Directed,1,,,1
26500661542,1723445087682036,Directed,2,,,1
26500661542,473534849474333,Directed,3,,,1
26500661542,216818815001367,Directed,4,,,1
26500661542,299223670114950,Directed,5,,,1
26500661542,107862852600046,Directed,6,,,1
26500661542,559551637571830,Directed,7,,,1
26500661542,179184988762983,Directed,8,,,1
26500661542,1261958363863388,Directed,9,,,1
26500661542,726781774124762,Directed,10,,,1
26500661542,979959432029504,Directed,11,,,1
26500661542,305445076247141,Directed,12,,,1
26500661542,154424564600210,Directed,13,,,1
26500661542,148183251887331,Directed,14,,,1
26500661542,252200558126475,Directed,15,,,1
26500661542,196074973829714,Directed,16,,,1
396645047055583,317772614923721,Directed,17,,,1
396645047055583,42301872141,Directed,18,,,1
396645047055583,404472443082000,Directed,19,,,1
396645047055583,364055440387154,Directed,20,,,1
396645047055583,165293747006921,Directed,21,,,1
396645047055583,1673065886336997,Directed,22,,,1
396645047055583,1027210030727279,Directed,23,,,1
396645047055583,385146171533416,Directed,24,,,1
396645047055583,178691935513591,Directed,25,,,1
396645047055583,136327626401155,Directed,26,,,1
396645047055583,87877001755,Directed,27,,,1
396645047055583,145890595497280,Directed,28,,,1
396645047055583,138625192874754,Directed,29,,,1
396645047055583,128970157145802,Directed,30,,,1
396645047055583,204339369631,Directed,31,,,1
396645047055583,175735592499371,Directed,32,,,1
396645047055583,196219991026,Directed,33,,,1
396645047055583,148233435227729,Directed,34,,,1
396645047055583,1559752740926695,Directed,35,,,1
396645047055583,10765693196,Directed,36,,,1
396645047055583,65828160736,Directed,37,,,1
396645047055583,680878155320799,Directed,38,,,1
396645047055583,386579461505708,Directed,39,,,1
396645047055583,275604505913599,Directed,40,,,1
396645047055583,210809168964891,Directed,41,,,1
396645047055583,393386711693,Directed,42,,,1
396645047055583,1047840735280734,Directed,43,,,1
396645047055583,200482460124706,Directed,44,,,1
396645047055583,642348352454509,Directed,45,,,1
396645047055583,120871391269685,Directed,46,,,1
396645047055583,826329210723246,Directed,47,,,1
396645047055583,209663759212175,Directed,48,,,1
396645047055583,168608973308985,Directed,49,,,1
396645047055583,244406808995574,Directed,50,,,1
396645047055583,106091378731,Directed,51,,,1
396645047055583,355287557837850,Directed,52,,,1
396645047055583,152117744823264,Directed,53,,,1
396645047055583,233071363415,Directed,54,,,1
396645047055583,10230702430,Directed,55,,,1
396645047055583,362602743770130,Directed,56,,,1
396645047055583,427437060637960,Directed,57,,,1
396645047055583,119307614943011,Directed,58,,,1
396645047055583,226800064000695,Directed,59,,,1
396645047055583,1524191551212964,Directed,60,,,1
396645047055583,258606450993663,Directed,61,,,1
396645047055583,360217092209,Directed,62,,,1
396645047055583,135674463136441,Directed,63,,,1
396645047055583,415217558550341,Directed,64,,,1
396645047055583,159087727618793,Directed,65,,,1
396645047055583,157642574484,Directed,66,,,1
396645047055583,1483383441876019,Directed,67,,,1
396645047055583,195588878048,Directed,68,,,1
396645047055583,13086273953,Directed,69,,,1
396645047055583,375277029226882,Directed,70,,,1
396645047055583,147415861937130,Directed,71,,,1
396645047055583,356264098895,Directed,72,,,1
396645047055583,19004299144,Directed,73,,,1
396645047055583,376514640670,Directed,74,,,1
396645047055583,53575623899,Directed,75,,,1
396645047055583,156399917718028,Directed,76,,,1
396645047055583,284752314970354,Directed,77,,,1
396645047055583,104193958449,Directed,78,,,1
396645047055583,134825163262285,Directed,79,,,1
396645047055583,61224900854,Directed,80,,,1
396645047055583,259217361315,Directed,81,,,1
396645047055583,263114743702338,Directed,82,,,1
396645047055583,496202217211360,Directed,83,,,1
396645047055583,15896141597,Directed,84,,,1
396645047055583,572233649503888,Directed,85,,,1
396645047055583,319275759773,Directed,86,,,1
396645047055583,6883542487,Directed,87,,,1
396645047055583,154213784747095,Directed,88,,,1
396645047055583,270988983068230,Directed,89,,,1
396645047055583,140817712791567,Directed,90,,,1
396645047055583,193028701665,Directed,91,,,1
396645047055583,329535631320,Directed,92,,,1
396645047055583,126974204024870,Directed,93,,,1
396645047055583,48103536156,Directed,94,,,1
396645047055583,760154327403900,Directed,95,,,1
396645047055583,558960510793252,Directed,96,,,1
396645047055583,144262212424306,Directed,97,,,1
396645047055583,620113761334680,Directed,98,,,1
396645047055583,398787050157783,Directed,99,,,1
396645047055583,164799456910585,Directed,100,,,1
396645047055583,321467166261,Directed,101,,,1
396645047055583,787717784598004,Directed,102,,,1
396645047055583,351605308190652,Directed,103,,,1
396645047055583,289265191114612,Directed,104,,,1
396645047055583,22133851421,Directed,105,,,1
396645047055583,337036405404,Directed,106,,,1
396645047055583,139088012797431,Directed,107,,,1
396645047055583,8473603278,Directed,108,,,1
396645047055583,120515345995,Directed,109,,,1
396645047055583,1489261961358939,Directed,110,,,1
396645047055583,635500303204761,Directed,111,,,1
396645047055583,104912387826,Directed,112,,,1
396645047055583,153430351473564,Directed,113,,,1
396645047055583,102608881476,Directed,114,,,1
396645047055583,218380434844431,Directed,115,,,1
396645047055583,276165002418417,Directed,116,,,1
396645047055583,427363377357927,Directed,117,,,1
396645047055583,124409704274214,Directed,118,,,1
396645047055583,151242860897,Directed,119,,,1
396645047055583,224055164464759,Directed,120,,,1
396645047055583,241585096018023,Directed,121,,,1
