Source,Target,Type,Id,Label,timeset,Weight
615085188507202,730248983799095,Directed,0,,,1
615085188507202,87420439737,Directed,1,,,1
615085188507202,6558867050,Directed,2,,,1
615085188507202,1669856786633898,Directed,3,,,1
615085188507202,189868184706008,Directed,4,,,1
615085188507202,104345379992328,Directed,5,,,1
615085188507202,16577276577,Directed,6,,,1
615085188507202,100484820802,Directed,7,,,1
615085188507202,447425735281,Directed,8,,,1
615085188507202,39355118462,Directed,9,,,1
615085188507202,19366141168,Directed,10,,,1
615085188507202,103590326358983,Directed,11,,,1
615085188507202,137438429783226,Directed,12,,,1
615085188507202,6394861658,Directed,13,,,1
615085188507202,390297510999650,Directed,14,,,1
615085188507202,10959868407,Directed,15,,,1
615085188507202,115236388496238,Directed,16,,,1
615085188507202,6708101101,Directed,17,,,1
615085188507202,312372693730,Directed,18,,,1
615085188507202,205188069505931,Directed,19,,,1
615085188507202,9189674485,Directed,20,,,1
615085188507202,5482789690,Directed,21,,,1
615085188507202,14226545351,Directed,22,,,1
615085188507202,118907304865324,Directed,23,,,1
615085188507202,450131130590,Directed,24,,,1
615085188507202,26260583856,Directed,25,,,1
615085188507202,35521441800,Directed,26,,,1
615085188507202,652558464761573,Directed,27,,,1
615085188507202,164916136887439,Directed,28,,,1
615085188507202,213641182015617,Directed,29,,,1
615085188507202,15087023444,Directed,30,,,1
615085188507202,8062627951,Directed,31,,,1
615085188507202,10376464573,Directed,32,,,1
615085188507202,5942134076,Directed,33,,,1
615085188507202,18807449704,Directed,34,,,1
615085188507202,64759509591,Directed,35,,,1
615085188507202,37763684202,Directed,36,,,1
615085188507202,187866389642,Directed,37,,,1
615085188507202,152339484277,Directed,38,,,1
615085188507202,305793219462203,Directed,39,,,1
615085188507202,5768707450,Directed,40,,,1
615085188507202,21898300328,Directed,41,,,1
615085188507202,5170395767,Directed,42,,,1
615085188507202,142029109274703,Directed,43,,,1
615085188507202,17614953850,Directed,44,,,1
615085188507202,45084588507,Directed,45,,,1
615085188507202,599590616742573,Directed,46,,,1
615085188507202,19074699872,Directed,47,,,1
615085188507202,42324160403,Directed,48,,,1
615085188507202,126747447391029,Directed,49,,,1
615085188507202,7891635905,Directed,50,,,1
615085188507202,135289098575,Directed,51,,,1
615085188507202,392148947525572,Directed,52,,,1
615085188507202,143884685632131,Directed,53,,,1
615085188507202,356579012251,Directed,54,,,1
615085188507202,181861021831773,Directed,55,,,1
615085188507202,83711079303,Directed,56,,,1
615085188507202,42553810029,Directed,57,,,1
615085188507202,104943266215463,Directed,58,,,1
615085188507202,28940545600,Directed,59,,,1
615085188507202,7764573022,Directed,60,,,1
615085188507202,5845317146,Directed,61,,,1
615085188507202,137029526330648,Directed,62,,,1
615085188507202,313595788739120,Directed,63,,,1
615085188507202,12955899333,Directed,64,,,1
615085188507202,20281766647,Directed,65,,,1
615085188507202,113823651434,Directed,66,,,1
615085188507202,413708012044983,Directed,67,,,1
615085188507202,700256186705573,Directed,68,,,1
615085188507202,170869886291532,Directed,69,,,1
615085188507202,271730225599,Directed,70,,,1
615085188507202,19787971220,Directed,71,,,1
615085188507202,132883180077993,Directed,72,,,1
615085188507202,228622847153959,Directed,73,,,1
615085188507202,87199626608,Directed,74,,,1
615085188507202,107938243423,Directed,75,,,1
615085188507202,8103318119,Directed,76,,,1
615085188507202,25593816105,Directed,77,,,1
615085188507202,403044644166,Directed,78,,,1
615085188507202,53402485622,Directed,79,,,1
615085188507202,35498912016,Directed,80,,,1
615085188507202,7821606430,Directed,81,,,1
615085188507202,19886835651,Directed,82,,,1
615085188507202,35896804101,Directed,83,,,1
615085188507202,130922415612,Directed,84,,,1
615085188507202,197474901813,Directed,85,,,1
615085188507202,40067858839,Directed,86,,,1
615085188507202,139999882711639,Directed,87,,,1
615085188507202,153477484736269,Directed,88,,,1
615085188507202,6209079710,Directed,89,,,1
